gene_callers_id	Classification
gene__2530	0
gene__2531	0
gene__2532	0
gene__2533	1
gene__2534	1
gene__2535	1
gene__2536	0
gene__2537	1
gene__2538	0
gene__2539	0
gene__2540	0
gene__2541	0
gene__2542	1
gene__2543	0
gene__2544	0
gene__2545	0
gene__2546	1
gene__2547	0
gene__2548	0
gene__2549	0
gene__2550	0
gene__2551	1
gene__2552	0
gene__2553	0
gene__2554	1
gene__2555	0
gene__2556	0
gene__2557	1
gene__2558	1
gene__2559	0
gene__2560	0
gene__2561	1
gene__2562	0
gene__2563	1
gene__2564	0
gene__2565	0
gene__2566	0
gene__2567	0
gene__2568	0
gene__2569	0
gene__2570	0
gene__2571	0
gene__2572	1
gene__2573	0
gene__2574	1
gene__2575	1
gene__2576	1
gene__2577	1
gene__2578	1
gene__2579	1
gene__2580	1
gene__2581	1
gene__2582	1
gene__2583	1
gene__2584	1
gene__2585	1
gene__2586	1
gene__2587	1
gene__2588	1
gene__2589	1
gene__2590	1
gene__2591	1
gene__2592	1
gene__2593	1
gene__2594	0
gene__2595	0
gene__2596	0
gene__2597	1
gene__2598	0
gene__2599	1
gene__2600	1
gene__2601	1
gene__2602	1
gene__2603	1
gene__2604	1
gene__2605	0
gene__2606	0
gene__2607	0
gene__2608	0
gene__2609	0
gene__2610	0
gene__2611	0
gene__2612	0
gene__2613	0
gene__2614	0
gene__2615	0
gene__2616	0
gene__2617	0
gene__2618	0
gene__2619	1
gene__2620	0
gene__2621	0
gene__2622	0
gene__2623	0
gene__2624	0
gene__2625	1
gene__2626	1
gene__2627	0
gene__2628	0
gene__2629	1
gene__2630	0
gene__2631	0
gene__2632	0
gene__2633	0
gene__2634	0
gene__2635	0
gene__2636	0
gene__2637	0
gene__2638	0
gene__2639	0
gene__2640	0
gene__2641	0
gene__2642	0
gene__2643	0
gene__2644	0
gene__2645	0
gene__2646	1
gene__2647	1
gene__2648	1
gene__2649	1
gene__2650	1
gene__2651	1
gene__2652	1
gene__2653	1
gene__2654	1
gene__2655	0
gene__2656	1
gene__2657	1
gene__2658	1
gene__2659	1
gene__2660	1
gene__2661	1
gene__2662	1
gene__2663	1
gene__2664	1
gene__2665	1
gene__2666	1
gene__2667	1
gene__2668	1
gene__2669	1
gene__2670	0
gene__2671	1
gene__2672	1
gene__2673	0
gene__2674	0
gene__2675	0
gene__2676	1
gene__2677	1
gene__2678	1
gene__2679	1
gene__2680	1
gene__2681	0
gene__2682	0
gene__2683	1
gene__2684	0
gene__2685	1
gene__2686	1
gene__2687	1
gene__2688	1
gene__2689	1
gene__2690	1
gene__2691	1
gene__2692	1
gene__2693	1
gene__2694	1
gene__2695	1
gene__2696	1
gene__2697	1
gene__2698	0
gene__2699	0
gene__29728	0
gene__29729	0
